filename;short_filename;path;type;exists;ishidden;isreadable;iswriteable;lastmodifiedtime;size;extension;uri;rooturi
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Coureur.xsd                                                                                                                                                                                                                                                                                                                                                                                                                      ;Coureur.xsd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;1628;xsd;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Coureur.xsd;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Coureur1.txt                                                                                                                                                                                                                                                                                                                                                                                                                     ;Coureur1.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;5601;txt;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Coureur1.txt;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Cumul_budget.txt.txt                                                                                                                                                                                                                                                                                                                                                                                                             ;Cumul_budget.txt.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;24;txt;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Cumul_budget.txt.txt;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Equipe.txt                                                                                                                                                                                                                                                                                                                                                                                                                       ;Equipe.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;470;txt;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Equipe.txt;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Etape.xml                                                                                                                                                                                                                                                                                                                                                                                                                        ;Etape.xml                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;2774;xml;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Etape.xml;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Fichier1.txt                                                                                                                                                                                                                                                                                                                                                                                                                     ;Fichier1.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;8;txt;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Fichier1.txt;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Fichier2.txt                                                                                                                                                                                                                                                                                                                                                                                                                     ;Fichier2.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;8;txt;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Fichier2.txt;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Fichier3.txt                                                                                                                                                                                                                                                                                                                                                                                                                     ;Fichier3.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;8;txt;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Fichier3.txt;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Liste_fichiers.txt                                                                                                                                                                                                                                                                                                                                                                                                               ;Liste_fichiers.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:32.000;1516;txt;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Liste_fichiers.txt;file:///C:/
C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses\Liste_répertoires.txt                                                                                                                                                                                                                                                                                                                                                                                                            ;Liste_répertoires.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;C:\Users\Godwin_Daniella\GitHub\Pentaho-Transformations\config_db\Données diverses                                                                                                                                                                                                                                                                                                                                                                                                                                  ;file                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Y;N;Y;Y;2011/01/13 09:49:30.000;1016;txt;file:///C:/Users/Godwin_Daniella/GitHub/Pentaho-Transformations/config_db/Données diverses/Liste_répertoires.txt;file:///C:/
